LP,KRS,NIP,Name,Voivodeship,County,Municipality,City
32,0000001834,6312199262,"STOWARZYSZENIE PRZYJACIÓŁ CHORYCH ""HOSPICJUM"" W GLIWICACH",ŚLĄSKIE,GLIWICE,GLIWICE,GLIWICE
33,0000001895,6391039907,TOWARZYSTWO SPOŁECZNO-KULTURALNE NIEMCÓW WOJEWÓDZTWA ŚLĄSKIEGO W RACIBORZU,ŚLĄSKIE,RACIBORSKI,RACIBÓRZ,RACIBÓRZ
34,0000001971,,FUNDACJA GIMNAZJUM I LICEUM AKADEMICKIE,KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
35,0000001973,,STOWARZYSZENIE SCLEROSIS MULTIPLEX W  KROTOSZYNIE,WIELKOPOLSKIE,KROTOSZYŃSKI,KROTOSZYN,KROTOSZYN
36,0000002098,6471000942,TOWARZYSTWO MIŁOŚNIKÓW RYDUŁTÓW W RYDUŁTOWACH,ŚLĄSKIE,WODZISŁAWSKI,RYDUŁTOWY,RYDUŁTOWY
37,0000002116,6443023262,"SOSNOWIECKIE STOWARZYSZENIE AMAZONEK ""ŻYCIE""",ŚLĄSKIE,SOSNOWIEC,SOSNOWIEC,SOSNOWIEC
38,0000002143,6391763603,"LUDOWY KLUB SPORTOWY ""STRZELEC"" RZUCHÓW Z SIEDZIBĄ W RZUCHOWIE",ŚLĄSKIE,RACIBORSKI,KORNOWAC,RZUCHÓW
39,0000002163,7822205849,"FUNDACJA NA RZECZ LUDZI OSAMOTNIONYCH ""SREBRNE LATA""",WIELKOPOLSKIE,POZNAŃ,POZNAŃ,POZNAŃ
40,0000002168,6391382284,HOSPICJUM IM. ŚW. JÓZEFA.ZESPÓŁ OPIEKI PALIATYWNEJ W RACIBORZU,ŚLĄSKIE,RACIBORSKI,RACIBÓRZ,RACIBÓRZ
41,0000002188,8171810721,STOWARZYSZENIE AMAZONEK POWIATU MIELECKIEGO,PODKARPACKIE,MIELECKI,MIELEC,MIELEC
42,0000002213,6421012848,RYBNICKI MŁODZIEŻOWY KLUB SPORTOWY W RYBNIKU,ŚLĄSKIE,M. RYBNIK,M. RYBNIK,RYBNIK
43,0000002344,6311014390,GLIWICKIE TOWARZYSTWO SZKOLNE IM. JANUSZA KORCZAKA W GLIWICACH,ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
44,0000002406,7411883789,KLUB ŻEGLARSKI OSTRÓDA,WARMIŃSKO-MAZURSKIE,OSTRÓDZKI,OSTRÓDA,OSTRÓDA
45,0000002503,8171848592,"KLUB ŻEGLARSKI ""ORKAN""",PODKARPACKIE,MIELECKI,MIELEC,MIELEC
46,0000002518,7542683789,POLSKI ZWIĄZEK GŁUCHYCH ODDZIAŁ OPOLSKI,OPOLSKIE,M. OPOLE,M. OPOLE,OPOLE
47,0000002635,7811684013,"STOWARZYSZENIE MUZYCZNE ""AKOLADA""",WIELKOPOLSKIE,M. POZNAŃ,M. POZNAŃ,POZNAŃ
48,0000002643,6311079194,SPOŁECZNY KOMITET POMOCY OSOBOM NIEPEŁNOSPRAWNYM,ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
49,0000002664,4990284167,BANK ŻYWNOŚCI W NOWYCH BIELICACH,ZACHODNIOPOMORSKIE,KOSZALIŃSKI,BIESIEKIERZ,NOWE BIELICE
50,0000002676,6391448818,OCHOTNICZA STRAŻ POŻARNA W SIEDLISKACH,ŚLĄSKIE,RACIBORSKI,KUŹNIA RACIBORSKA,SIEDLISKA
51,0000002681,6411274015,RUDZKIE KONTO POMOCY,ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
52,0000002790,6331995563,"TOWARZYSTWO ""SPRAWNI INACZEJ""",ŚLĄSKIE,M. JASTRZĘBIE-ZDRÓJ,M. JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE-ZDRÓJ
53,0000002803,8792265906,FUNDACJA NA RZECZ HEMATOLOGII I MEDYCYNY REGENERACYJNEJ,KUJAWSKO-POMORSKIE,M. TORUŃ,M. TORUŃ,TORUŃ
54,0000002928,6172013836,JAROCIŃSKIE STOWARZYSZENIE EDUKACYJNE,WIELKOPOLSKIE,JAROCIŃSKI,JAROCIN,JAROCIN
55,0000002929,6411004451,BRACTWO KURKOWE MIASTA RUDA ŚLĄSKA W RUDZIE ŚLĄSKIEJ,ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
56,0000002937,6482365311,"STOWARZYSZENIE NA RZECZ ADAPTACJI OSÓB UZALEŻNIONYCH I ICH RODZIN DO SPOŁECZEŃSTWA ""ŻYJ I DAJ ŻYĆ"" - ORGANIZACJA POŻYTKU PUBLICZNEGO",ŚLĄSKIE,M. ZABRZE,M. ZABRZE,ZABRZE
57,0000002975,6422183730,"STOWARZYSZENIE PROMOCJI ZDROWIA ""ALERGOKOL"" W RYBNIKU",ŚLĄSKIE,M. RYBNIK,M. RYBNIK,RYBNIK
58,0000002989,6551772664,STOWARZYSZENIE PRZYJACIÓŁ DOMU POMOCY SPOŁECZNEJ W GNOJNIE,ŚWIĘTOKRZYSKIE,BUSKI,GNOJNO,GNOJNO
59,0000003007,5821431287,"STOWARZYSZENIE POMOCY SPOŁECZNEJ ""SOCJAL"" W BRANIEWIE",WARMIŃSKO-MAZURSKIE,BRANIEWSKI,BRANIEWO,BRANIEWO
60,0000003024,6331807461,KOMITET POMOCY DZIECIOM SPECJALNEJ TROSKI W JASTRZĘBIU-ZDROJU,ŚLĄSKIE,M. JASTRZĘBIE-ZDRÓJ,M. JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE-ZDRÓJ
61,0000003038,6332005077,TOWARZYSTWO MIŁOŚNIKÓW ZIEMI JASTRZĘBSKIEJ,ŚLĄSKIE,M. JASTRZĘBIE-ZDRÓJ,M. JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE-ZDRÓJ
62,0000003051,6411294934,"STOWARZYSZENIE RODZIN OSÓB NIEPEŁNOSPRAWNYCH ""NADZIEJA""",ŚLĄSKIE,RUDA ŚLĄSKA,RUDA ŚLĄSKA,RUDA ŚLĄSKA
63,0000003058,4980109089,"PIEKARSKIE STOWARZYSZENIE RODZIN ABSTYNENCKICH KLUB ABSTYNENTA ""PIĄTKA""",ŚLĄSKIE,M. PIEKARY ŚLĄSKIE,M. PIEKARY ŚLĄSKIE,PIEKARY ŚLĄSKIE
64,0000003074,6312291967,"KLUB ABSTYNENTÓW ""KROKUS"" GLIWICE",ŚLĄSKIE,M. GLIWICE,M. GLIWICE,GLIWICE
65,0000003102,6482320521,STOWARZYSZENIE PRZYJACIÓŁ CHORYCH - HOSPICJUM IM.MATKI TERESY Z SIEDZIBĄ W ZABRZU,ŚLĄSKIE,M. ZABRZE,M. ZABRZE,ZABRZE
66,0000003109,6411428671,"TOWARZYSTWO OPIEKI NAD ZWIERZĘTAMI ""FAUNA"" W RUDZIE ŚLĄSKIEJ",ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
67,0000003134,6312253145,"STOWARZYSZENIE PROMOCJI ZDROWIA I TRZEŹWEGO STYLU ŻYCIA ""SZANSA""",ŚLĄSKIE,GLIWICKI,RUDZINIEC,PŁAWNIOWICE
68,0000003169,6342427118,"STOWARZYSZENIE RODZIN I PRZYJACIÓŁ OSÓB Z ZESPOŁEM DOWNA ""SZANSA""",ŚLĄSKIE,KATOWICE,KATOWICE,KATOWICE
69,0000003204,6391115689,"CHRZEŚCIJAŃSKIE STOWARZYSZENIE ""BEZPIECZNA PRZYSTAŃ""",ŚLĄSKIE,RACIBORSKI,KUŹNIA RACIBORSKA,KUŹNIA RACIBORSKA
70,0000003232,5532193841,"LUDOWY KLUB SPORTOWY ""MAGÓRKA"" CZERNICHÓW - TRESNA",ŚLĄSKIE,ŻYWIECKI,CZERNICHÓW,CZERNICHÓW
71,0000003233,6411421278,"RUDZKIE STOWARZYSZENIE RODZIN ABSTYNENCKICH ""ZDROWE ŻYCIE""",ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
72,0000003272,6331381358,STOWARZYSZENIE DIALIZOWANYCH NEPHROS Z SIEDZIBĄ W JASTRZĘBIU ZDROJU,ŚLĄSKIE,M. JASTRZĘBIE-ZDRÓJ,M. JASTRZĘBIE-ZDRÓJ,JASTRZĘBIE ZDRÓJ
73,0000003316,8132979841,"LUDOWY KLUB SPORTOWY ""BŁAŻOWIANKA"" W BŁAŻOWEJ",PODKARPACKIE,RZESZOWSKI,BŁAŻOWA,BŁAŻOWA
74,0000003362,8361634799,STOWARZYSZENIE HOSPICJUM IM. ANNY OLSZEWSKIEJ W SKIERNIEWICACH,ŁÓDZKIE,SKIERNIEWICE,SKIERNIEWICE,SKIERNIEWICE
75,0000003418,8831690460,"SPOŁECZNO-OŚWIATOWE STOWARZYSZENIE POMOCY POKRZYWDZONYM I NIEPEŁNOSPRAWNYM
""EDUKATOR"" W ŁOMŻY, ODDZIAŁ W POLANICY ZDROJU",DOLNOŚLĄSKIE,KŁODZKI,POLANICA-ZDRÓJ,POLANICA-ZDRÓJ
76,0000003452,6311711083,STOWARZYSZENIE OSÓB NIEPEŁNOSPRAWNYCH IM. JANINY STOKSIK,ŚLĄSKIE,GLIWICE,GLIWICE,GLIWICE
77,0000003495,6452193377,"""HOSPICJUM KRÓLOWEJ POKOJU""",ŚLĄSKIE,TARNOGÓRSKI,TARNOWSKIE GÓRY,TARNOWSKIE GÓRY
78,0000003498,6422590228,"STOWARZYSZENIE AMAZONEK ""ODNOWA""",ŚLĄSKIE,M. RYBNIK,M. RYBNIK,RYBNIK
79,0000003519,6511566711,KURKOWE BRACTWO STRZELECKIE W ŻORACH,ŚLĄSKIE,ŻORY,ŻORY,ŻORY
80,0000003534,9542351657,"STOWARZYSZENIE KATOLICKIEJ WSPÓLNOTY ""EMMANUEL""",ŚLĄSKIE,KATOWICE,KATOWICE,KATOWICE
81,0000003639,8392554179,"FUNDACJA ""RODZINA""",ZACHODNIOPOMORSKIE,SŁAWIEŃSKI,SŁAWNO,SŁAWNO
82,0000003647,9541980345,"STOWARZYSZENIE EKOLOGICZNE ""EKO-UNIA"" Z SIEDZIBĄ WE WROCŁAWIU",DOLNOŚLĄSKIE,M. WROCŁAW,M. WROCŁAW,WROCŁAW
83,0000003678,5591817154,BRACTWO CZARNEJ WODY,KUJAWSKO-POMORSKIE,ŚWIECKI,OSIE,OSIE
84,0000003684,,STOWARZYSZENIE SPOŁECZNO-KULTURALNE WŁODZICA,DOLNOŚLĄSKIE,KŁODZKI,NOWA RUDA,WŁODOWICE
85,0000003736,6412215173,"RUDZKIE STOWARZYSZENIE AMAZONEK ""RELAKS"" Z SIEDZIBĄ W RUDZIE ŚLĄSKIEJ",ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
86,0000003793,7311800775,TOWARZYSTWO MUZYCZNE IM. KAROLA NICZE,ŁÓDZKIE,PABIANICKI,PABIANICE,PABIANICE
87,0000003819,6391716503,OCHOTNICZA STRAŻ POŻARNA W PAWŁOWIE GM. PIETROWICE WIELKIE,ŚLĄSKIE,RACIBORSKI,PIETROWICE WIELKIE,PAWŁÓW
88,0000003847,7752336775,"STOWARZYSZENIE ""MAMY WIELKIE SERCA""",ŁÓDZKIE,ŁĘCZYCKI,ŚWINICE WARCKIE,STEMPLEW
89,0000003866,7221455464,"STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH ""NATURA""",PODLASKIE,WYSOKOMAZOWIECKI,CIECHANOWIEC,WOJTKOWICE STARE
90,0000003905,6222324692,KLUB PIŁKARSKI CENTRA 1946 OSTRÓW WIELKOPOLSKI,WIELKOPOLSKIE,OSTROWSKI,OSTRÓW WIELKOPOLSKI,OSTRÓW WIELKOPOLSKI
91,0000003968,5422200681,STOWARZYSZENIE NA RZECZ REHABILITACJI PSYCHIATRYCZNEJ,PODLASKIE,M. BIAŁYSTOK,M. BIAŁYSTOK,BIAŁYSTOK
92,0000004050,6292199571,ZIEMIA I MY CENTRUM EDUKACJI EKOLOGICZNEJ,ŚLĄSKIE,DĄBROWA GÓRNICZA,DĄBROWA GÓRNICZA,DĄBROWA GÓRNICZA
93,0000004066,8681715401,"LUDOWY KLUB SPORTOWY ""PIAST"" ŁAPANÓW",MAŁOPOLSKIE,BOCHEŃSKI,ŁAPANÓW,ŁAPANÓW
94,0000004129,6412186767,STOWARZYSZENIE OPIEKI HOSPICYJNEJ I PALIATYWNEJ IM. ŚW. JANA PAWŁA II W RUDZIE ŚLĄSKIEJ,ŚLĄSKIE,M. RUDA ŚLĄSKA,M. RUDA ŚLĄSKA,RUDA ŚLĄSKA
95,0000004293,7122312201,"STOWARZYSZENIE OCHRONY I POMOCY RODZINIE ""SOPRA""",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN
96,0000004348,6191783073,"STOWARZYSZENIE INTEGRACJI SPOŁECZNEJ ""NA KĘPIE""",WIELKOPOLSKIE,KĘPIŃSKI,KĘPNO,KĘPNO
97,0000004349,9670357401,"REGIONALNY ODDZIAŁ POLSKIEGO TOWARZYSTWA TURYSTYCZNO-KRAJOZNAWCZEGO ""SZLAK BRDY""",KUJAWSKO-POMORSKIE,M. BYDGOSZCZ,M. BYDGOSZCZ,BYDGOSZCZ
98,0000004368,7392760978,STOWARZYSZENIE ŚWIĘTEJ RODZINY,WARMIŃSKO-MAZURSKIE,M. OLSZTYN,M. OLSZTYN,OLSZTYN
